id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180185,BEAST BASS BOMB,Hommarju,,2017-11-16,MXM,18,,7,,,비비비 / bbb
180186,OPEN MY GATE,ARM×狐夢想 feat. RINA (I've),,2017-11-16,MXM,18,,9,,,
180187,Hug!! Vs. Hug!!,はるなば,,2017-11-16,MXM,18,,2,,,
180188,#SpeedyCats,RoughSketch a.k.a. uno(IOSYS),,2017-11-16,MXM,18,,2,,,스피디캣츠
180189,DropZ-Line-,Getty vs. DJ DiA,,2017-11-30,MXM,18,,5,,,
180190,Khionos TiARA,Ellim Gnirps vs よみぃ,,2017-11-30,MXM,18,,3,,,
180191,Goddess Bless you,winddrums,,2017-11-30,MXM,18,,8,,,
180192,Be a Hero!,中島由貴,,2017-11-30,MXM,18,,6,,,히어로
180193,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,FLOOR LEGENDS -KAC 2013-,,2017-12-14,EXH,18,,2,,,캌메들리엠프레스
180194,Lowermost revolt,かめりあ feat. 歌劇派学生,,2017-12-21,MXM,18,,4,,,
180195,極彩天奏,かゆき,,2017-12-21,MXM,18,,3,,ごくさいてんそう,극채천추
180196,НУМЛ,Zutt,,2018-01-09,MXM,18,,1,,,“힘”
180197,びいすと！,ビートまりおとARM,,2018-01-18,MXM,18,,10,,-,비스토 / 비스트
180198,メイビ～初恋！？ビスケット☆大作戦,DJ TOTTO×mitsu feat.BisCo(CV:洲崎綾),,2018-01-18,MXM,18,,6,,めいび　はつこい　びすけっと　だいさくせん,
180199,MONOLITH,TOMOSUKE,,2018-02-01,MXM,18,,10,,,
180200,I,黒魔,,2018-02-22,EXH,18,,8,,,
180201,Cloud 9,雄之助,,2018-02-22,MXM,18,,4,,,클9
180202,Sacrifice and Faith,ℱsinfonia（Yu_Asahina　溝口ゆうま　かなたん　大瀬良 あい）,,2018-02-22,MXM,18,,6,,,
180203,神話に芽吹く,Cororo,,2018-02-22,MXM,18,,1,,しんわにめぶく,"신화싹 / "
180204,ワールズエンド・ダンスホール,wowaka,,2018-03-08,MXM,18,,9,,わーるずえんど　だんすほーる,월드엔드댄스홀
180205,crossing blue,ぺのれり,,2018-03-22,MXM,18,,7,,,
180206,BlueMoon Princess,うさぎ愛好会(cosMo×syuri22),,2018-03-22,MXM,18,,6,,,
180207,Яe's NoVǢ,からとP feat.リた☆,,2018-03-22,MXM,18,,8,,,레스노바에
180208,Wings of Glory,Crawk × Capchii,,2018-03-22,MXM,18,,7,,,
180209,Sky High,Cuvelia,,2018-04-13,MXM,18,,4,,,
180210,CHERNOBOG,漆黒のEBONY,,2018-04-13,MXM,18,,6,,,
180211,業焔繚乱,BlackY,,2018-04-13,GRV,18,,4,,ごうえんりょうらん,
180212,New Leaf,BlackY vs. Yooh,,2018-04-26,MXM,18,,10,,,
180213,Re：End of a Dream,uma vs. モリモリあつし,,2018-04-26,MXM,18,,2,,,리엔드
180214,RHYZING BEAT,PHQUASE,,2018-04-26,MXM,18,,7,,,
180215,Evans,DJ YOSHITAKA,,2018-04-26,MXM,18,,7,,,
180216,SAtAN,P*Light,,2018-05-17,MXM,18,,3,,,
180217,Divine's:Bugscript,かゆき,,2018-05-17,MXM,18,,3,,,
180218,LastΩmegA,BlackY,,2018-06-07,MXM,18,,6,,,lastomega
180219,誰が為に兎は舞う ＝狂速狂騒曲＝,うさぎ愛好会(cosMo×syuri22),,2018-06-07,MXM,18,,8,,たがためにうさぎはまう　きょうそくきょうそうきょうく,누군가를위해토끼는춤을춘다 / 광속광소곡
180220,Touch My Body,anubasu-anubasu,,2018-06-07,MXM,18,,9,,,
180221,Redshift,technoplanet,,2018-06-07,MXM,18,,8,,,
180222,ECHIDNA,HuΣeR,,2018-06-15,MXM,18,,5,,,에키드나
180223,Nexta,lapix,,2018-06-15,GRV,18,,4,,,
180224,MeteorGlow Aftermath,pan,,2018-06-28,MXM,18,,3,,,
180225,Gate of Atlantis,MasKaleido,,2018-06-28,MXM,18,,4,,,게오아
180226,KIMIDORI Streak!!,梅干茶漬け,,2018-06-28,MXM,18,,10,,,
180227,BLAZING_LAZER,brz1128,,2018-07-12,MXM,18,,10,,,
180228,Reb∞t,"BEMANI Sound Team ""TAG""",,2018-07-12,GRV,18,,5,,,
180229,Victim of Nights,すのうまん,,2018-07-19,MXM,18,,8,,,
180230,Levier'n NābYss,MisoilePunch♪ ~Take No Complete~,,2018-07-27,MXM,18,,7,,,leviernnabyss
180231,ホワイトパレード,梅干茶漬け,,2018-07-27,MXM,18,,7,,ほわいとぱれーど,화이트퍼레이드
180232,Xronièr,"かめりあ as ""fluX Xroisé""",,2018-08-09,EXH,18,,2,,,스로니어 / 크로니어
180233,そして黄金郷へ,TAKU1175 × かにまゆ,,2018-08-09,MXM,18,,4,,そしておうごんきょうえ,
180234,光射す澪のユズリハ,Cororo feat.Yuria Miyazono,,2018-08-09,MXM,18,,5,,ひかりさすみおのゆずりは,
180235,サイコパスラビット,うさぎ愛好会PSYCHOPATH(cosMo×syuri22),,2018-08-09,MXM,18,,3,,さいこぱすらびっと,사이코패스래빗 / 사이코버니
180236,オニユリ,ぺのれり,,2018-08-09,MXM,18,,5,,おにゆり,오니유리
180237,水簾ノ調,Capchii × Crawk,,2018-08-09,MXM,18,,10,,すいれんのしらべ,수렴의조
180238,スラッシュ//シスターズ,はるなば with すずしろ&桃箱,,2018-08-09,MXM,18,,10,,すらっしゅ　しすたーず,
180239,Black night,Noah,,2018-08-16,MXM,18,,10,,,
180240,まじかる生主＠りすなちゃん,DJ SHARPNEL feat. みらい,,2018-08-16,GRV,18,,7,,まじかるなまぬし　りすなちゃん,
180241,Puberty Dysthymia,"BEMANI Sound Team ""person09""",,2018-08-23,MXM,18,,4,,,
180242,SUPER SUMMER SALE,"BEMANI Sound Team ""U1 overground""",,2018-08-23,MXM,18,,9,,,
180243,Prey,"BEMANI Sound Team ""Dustup""",,2018-08-23,MXM,18,,3,,,
180244,Breakin' Asia,かたぎり,,2018-08-30,MXM,18,,10,,,
180245,Lunatic Sprinter,さわわ,,2018-08-30,MXM,18,,7,,,
180246,Beyond the BLUE,Ayato × sak × 田島千種,,2018-09-06,MXM,18,,8,,,
